Timestamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13
1/1/14 0:00,220.09,30.76,111.39,217.17,17.98,165.84,76.93,526.19,29.43,103.25,95,99.75,27.51
1/1/14 1:00,220.09,30.76,111.39,217.17,17.98,165.84,76.93,526.19,29.43,103.25,95,99.75,27.51
1/1/14 2:00,221.55,29.75,103.38,216.24,18.38,165.56,76.09,524.89,29.43,101.25,96.5,100.25,28.13
1/1/14 3:00,226.91,29.85,105.17,216.69,18.33,165,76.32,517.34,29.27,101.25,97,102.25,28.38
1/1/14 4:00,228.36,29.42,110.33,215.83,18.37,164.61,76.06,516.13,27.8,102.25,100.25,101.5,28.13
1/1/14 5:00,260.95,29.86,104.05,213.97,18.28,164.57,76.35,517.61,27.8,101.75,95.75,105.75,28.63
1/1/14 6:00,266.22,29.95,116.44,213.85,18.53,165.2,76.57,522.28,27.81,105.75,96.25,101.5,28.5
1/1/14 7:00,253.18,38.36,153.22,232.41,18.46,172.79,140.46,525.47,24.95,100.5,95,101,28.25
1/1/14 8:00,251.14,48.33,162.43,241.67,18.04,244,226.48,525.03,11.48,96.25,96,92.5,28.38
1/1/14 9:00,233.16,36.37,159.69,235.24,14.11,241.61,217.57,485.65,-19.24,91.5,92,78.75,28.25
1/1/14 10:00,223.32,35.32,157.74,239.78,11.98,236.24,216.74,481.8,-64.17,90.25,81,78.75,28.25
1/1/14 11:00,213.41,36.23,152.84,242.2,11.64,236.53,217.26,482.63,-99.26,91.75,81,77.75,33.38
1/1/14 12:00,195.66,36.09,150.24,252.82,12.07,234.06,217.01,476.62,-120.05,136.25,76,116.25,68.38
1/1/14 13:00,191.78,35.87,151.84,253.53,11.84,232.11,217.15,473.69,-127.41,121.5,80.75,107,63.88
1/1/14 14:00,187.54,35.99,148.15,255.39,12.23,232.14,216.78,473.75,-118.62,122,81.75,112,79.75
1/1/14 15:00,185.99,35.29,146.1,260.56,12.65,232.29,216.7,473.66,-91.83,122.5,79.25,114.5,78.63
1/1/14 16:00,185.01,35.19,146.09,262.09,12.64,232.63,216.61,472.56,-55.88,127.75,79.25,109,90.5
1/1/14 17:00,188.3,35.05,141.27,261.68,12.87,232.5,216.62,472.68,-17.5,140,79,111,93.38
1/1/14 18:00,193.83,40.19,142.95,267.9,15.68,249.99,221.9,493.46,22.94,139.25,81.5,120.25,89.63
1/1/14 19:00,200.96,49.07,147.65,277.68,17.92,273.52,228.54,520.1,29.65,135.75,87,129.5,75.63
1/1/14 20:00,205.54,49.23,149.55,275.17,18.42,273.73,229.38,520.92,29.61,139,91.75,125,69.63
1/1/14 21:00,207.61,48.66,148.81,276.1,18.7,265.38,218.98,521.77,29.74,127.5,91.75,129.5,61
